공원명,위도,경도
도화동 어린이공원(안중지구 택지개발),36.9868923,126.9190947
서당제 어린이공원(안중지구 택지개발),36.9829976,126.9188914
장터골 어린이공원(안중지구 택지개발),36.983101,126.9233268
긴둥골 어린이공원(안중지구 택지개발),36.98312935,126.9267678
방죽골 어린이공원(안중지구 택지개발),36.9809733,126.9242104
소예공원,35.9719816,127.113905
대장골 어린이공원(청북지구 택지개발),37.023124,
해모 어린이공원(청북지구 택지개발),37.0240422,126.9118592
백로 어린이공원(청북지구 택지개발),37.0188627,126.908146
배당지 어린이공원(청북지구 택지개발),37.0196976,126.9117301
길마 어린이공원(청북지구 택지개발),37.0172148,126.915148
둔터 어린이공원(청북지구 택지개발),37.0232773,126.9198606
자미 어린이공원(청북지구 택지개발),37.0190279,126.9183137
공원-113,35.22180146,126.964355
비파 어린이공원(청북지구 택지개발),37.0179769,126.918677
작골 어린이공원(청북지구 택지개발),37.0142483,126.9198872
돌패기 어린이공원(청북지구 택지개발),37.0201749,126.9048345
"송담8길 어린이공원(안중/송담지구)",36.9828084,126.9318338
송담4로 어린이공원(안중/송담지구),36.9836683,126.9352702
"송담9길 어린이공원(안중/송담지구)",36.9817239,126.9344998
"송담6길 어린이공원(안중/송담지구)",36.9812708,126.9292045
"송담5길 어린이공원(안중/송담지구)",36.9784192,126.9267622
길음2리 소공원(길음지구),36.9851567,126.9701833
길음3리 소공원(길음지구),36.9848429,126.9693226
대반5리 소공원(대반지구),,126.9579868
지영희 소공원,36.969865,126.8607238
모산 근린공원,37.014195,127.0932985
용죽 역사공원(용죽지구),36.9977512,127.127198
사랑방 어린이공원(용죽지구),36.9942244,127.1279573
배꽃 어린이공원(소사2지구),36.9924072,127.129607
1호 근린공원(세교지구),37.0047711,127.0876577
물방울(동부84호) 어린이공원(세교지구단위),37.00328063,127.077068
신대동 소공원(통복지구),36.99771445,127.0822321
어린이공원(통복지구),36.9986263,127.0831024
송화 근린공원,36.9586066,127.0577221
남산 근린공원,36.95455613,127.0548927
은실 근린공원,37.0066199,127.0820064
골목길 어린이공원(용죽지구),36.9931791,127.1242957
솔숲 근린공원(소사2지구),36.990331,127.1303496
풀내음 근린공원(소사2지구),36.9867434,127.126515
소사뜰 어린이공원(소사2지구),36.9888002,127.1305018
무동 어린이공원(소사2지구),36.9888281,127.1269405
가흥제2소공원,36.8192908,128.6057911
하망제1소공원,36.83122148,128.6314816
하망제2소공원,,
댐소공2,36.7347437,128.6803937
댐소공3,,
평은수변공원1,36.7331615,128.6776277
평은수변공원2,36.72274585,128.6698942
용혈공원,,
영주댐하류공원,,
소공원,,
곱작골소공원,36.82118321,128.6325466
상망제1공원,,
풍기인삼문화팝업공원,,128.5190405
어울림 소공원(소사2지구),36.989278,127.1243966
신흥 근린공원(신흥지구),37.0037751,127.1488814
신흥 어린이공원(신흥지구),37.0017432,127.1482749
비전 근린공원(매봉산),36.99505826,127.1033948
상서재마당 근린공원(동삭2지구 근린2호),37.0138977,127.1027862
소공원 1호(세교지구),37.0106901,127.0910029
2호 어린이공원(세교지구),37.0081659,127.0873475
3호 어린이공원(세교지구),37.0061931,127.0874272
"1호 어린이공원(동삭/세교지구)",37.0065414,127.092895
삽다리 어린이공원,37.0005386,127.0580251
소공원1호(두정지구),36.9453976,127.0211501
소공원2호(두정지구),36.9457555,127.0230317
소공원3호(두정지구),36.9466753,127.0231098
본정리 소공원,36.9487969,127.0105304
여염 근린공원(고덕일반산업단지),37.03034255,127.0545468
봉골 근린공원(고덕일반산업단지),37.02668866,127.0619253
제1호 근린공원(가재지구),37.04425349,127.0752502
제12호 근린공원(새마을공원),37.328901,127.094701
신리어린이공원,37.322801,127.081501
제17호 근린공원(신봉공원),37.318501,127.081101
동천체육공원(60호),37.334901,127.096801
제16호 근린공원(수지생태공원),37.323701,127.084901
제86호 어린이공원(한아름),37.273601,127.136701
생태마당근린공원,37.248201,127.108401
신봉4어린이공원,37.327201,127.065201
동백제5호 어린이공원(푸른내),37.282901,127.163201
동백제9호 어린이공원(해음),37.267101,127.158401
동백제4공원(산오름공원),37.280001,127.164101
동백제5공원(새물공원),37.281401,127.156001
동백제14공원(토리공원),37.265101,127.156101
서봉숲 공원,37.299401,127.082801
제44호 근린공원(관곡근린공원),37.281901,127.113301
제43호 근린공원(갈천근린공원),37.284401,127.110101
제46호 근린공원(용뫼근린공원),37.264301,127.108101
제61호 어린이공원(상갈),37.267801,127.106001
제62호 어린이공원(금화5),37.267001,127.109801
제64호 어린이공원(금화1),37.263701,127.109101
제63호 어린이공원(금화3),37.262001,127.106501
제15호 어린이공원,37.337401,127.095401
동백제10공원(튼싹공원),37.278001,127.152601
동진원1공원,37.286401,127.144701
소공원,37.301901,127.075001
제106호 어린이공원,37.294501,127.125001
소공원,37.282801,127.109501
소공원,37.232901,127.197101
제55호 근린공원(성복3공원),37.317101,127.063401
제54호 근린공원,37.315301,127.070201
동백제8공원(한숲공원),37.274601,127.153201
동백제9공원(해놀공원),37.274401,127.160501
보라4어린이공원(자작너울),37.244101,127.109701
보라1어린이공원(색동저고리),37.253101,127.112601
보라2어린이공원(민속놀이),37.250101,127.109701
제21호 근린공원(서원공원),37.301401,127.079801
삼가1지구 체육공원,37.238301,127.169501
제107호 어린이공원,37.334101,127.253701
어린이공원,37.272241,127.151156
동진원제1호어린이공원,37.285101,127.142401
동진원제3호어린이공원,37.280601,127.144301
동진원2공원,37.282501,127.143701
제49호 근린공원(김혁근린공원),37.276201,127.127801
제54호 어린이공원(은하수),37.270301,127.134001
죽전제2호 어린이공원,37.333601,127.122801
천주교묘지공원,37.323101,127.140801
보정제1호 어린이공원(신촌),37.321801,127.112601
죽전제5호 어린이공원,37.329901,127.125701
죽전제12호 어린이공원,37.325401,127.114801
죽전제1공원(무지개공원),37.322801,127.110301
